"","Bin size","Taphonomic grade","vs.","Rho","p","BH","Signif"
"70","Stage","5","Macrostrat siliciclastic (area)",0.515,0.00093287,0.00502713277777778,"*"
"71","Period","1","Macrostrat carbonate (count)",-0.771,0.10278,0.226583181818182,""
"72","Period","2","Macrostrat carbonate (count)",-0.6,0.24167,0.390699833333333,""
"73","Period","3","Macrostrat carbonate (count)",-0.334,0.5177,0.652167532467533,""
"74","Period","4","Macrostrat carbonate (count)",0.314,0.56389,0.692371265822785,""
"75","Period","5","Macrostrat carbonate (count)",-0.371,0.49722,0.645696666666667,""
"76","Period","1","Macrostrat silicilcastic (count)",-0.6,0.24167,0.390699833333333,""
"77","Period","2","Macrostrat siliciclastic (count)",-0.6,0.24167,0.390699833333333,""
"78","Period","3","Macrostrat siliciclastic (count)",-0.395,0.43874,0.616779420289855,""
"79","Period","4","Macrostrat siliciclastic (count)",0.2,0.71389,0.814674470588235,""
"80","Period","5","Macrostrat siliciclastic (count)",-0.314,0.56389,0.692371265822785,""
"81","Period","1","Macrostrat carbonate (area)",-0.6,0.24167,0.390699833333333,""
"82","Period","2","Macrostrat carbonate (area)",-0.771,0.10278,0.226583181818182,""
"83","Period","3","Macrostrat carbonate (area)",-0.698,0.12284,0.259032173913044,""
"84","Period","4","Macrostrat carbonate (area)",-0.0857,0.91944,0.958985806451613,""
"85","Period","5","Macrostrat carbonate (area)",-0.6,0.24167,0.390699833333333,""
"86","Period","1","Macrostrat siliciclastic (area)",0.0857,0.91944,0.958985806451613,""
"87","Period","2","Macrostrat siliciclastic (area)",-0.257,0.65833,0.78837049382716,""
"88","Period","3","Macrostrat siliciclastic (area)",-0.334,0.5177,0.652167532467533,""
"89","Period","4","Macrostrat siliciclastic (area)",-0.0286,1,1,""
"90","Period","5","Macrostrat siliciclastic (area)",-0.2,0.71389,0.814674470588235,""
"91","Stage","1","Mean sea level",-0.0534,0.75036,0.846336279069767,""
"92","Stage","2","Mean sea level",-0.15,0.36938,0.534774029850746,""
"93","Stage","3","Mean sea level",0.00304,0.98555,0.995816145833333,""
"94","Stage","4","Mean sea level",0.0216,0.89755,0.956729120879121,""
"95","Stage","5","Mean sea level",0.0328,0.84505,0.921009550561798,""
"96","Stage","Ratio 1","Mean sea level",0.0328,0.86324,0.930380888888889,""
"97","Stage","Ratio 5","Mean sea level",-0.0114,0.95239,0.972440315789474,""
