Column1,Rank,Family,Genus,Species,Museum_code,Museum_country,Publication,Museum_only,In_PBDB,Locality,Continent,Country,lat,lng,Latlng_Precision,Group,Formation,Member,Age_resolution,Max_period,Min_period,early_stage,late_stage,max_ma,min_ma,interval_mid_ma,n_bins,bin_assignment,overlap_percentage,Finalised_lith,Finalised_grainsize,p_lng,p_lat,Combined_name,Finalised_grainsize_simp
228,Species,Lepidocentridae,Palaeodiscus,ferox,OUM,England,NONE,1,NA,"Leintwardine, Herefordshire",Europe,England,52.36,-2.871,Minutes,NA,Lower Leintwardine Formation,NA,Stage,Silurian,Silurian,Ludfordian,Ludfordian,425.6,423,424.3,1,79,100,Siliciclastic,Siltstone,-31.9558,-15.89,Palaeodiscus ferox,Fine Grained
229,Species,Miocidaridae,Eotiaris,keyserlingi,OUM,England,NONE,1,NA,"Korbussen, Thuringia",Europe,Germany,50.885,12.169,Minutes,NA,Zechstein Limestone,Werra Cycle,Stage,Permian,Permian,Wuchiapingian,Wuchiapingian,259.1,254.14,256.62,1,56,100,Carbonate,Coquina,-34.4838,-12.062,Eotiaris keyserlingi,Coarse Grained
230,Species,Archaeocidaridae,Archaeocidaris,forbesiana,OUM,England,NONE,1,NA,"Salt Range, Punjab,",Asia,NA,32.5,71.933,Degrees,Zaluch Group,Wargal Formation,NA,Stage,Permian,Permian,Capitanian,Wuchiapingian,265.1,254.14,259.62,3,56,49,NA,,-35.1119,-18.465,Archaeocidaris forbesiana,NA
231,Family,Archaeocidaridae,NA,NA,BGS,England,NONE,1,NA,"Millstone Neuk Shore, Dunbar",Europe,Scotland,55.995,-2.471,Seconds,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Carbonate,Wackestone,1.0187,-5.7931,NA,Fine Grained
232,Family,Archaeocidaridae,NA,NA,BGS,England,NONE,1,NA,"Millstone Neuk Shore, Dunbar",Europe,Scotland,55.995,-2.471,Seconds,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Carbonate,,1.0187,-5.7931,NA,NA
233,Family,Archaeocidaridae,NA,NA,BGS,England,NONE,1,NA,"Ponfeigh Burn, Douglas",Europe,Scotland,55.593,-3.777,Minutes,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,NA,,-33.0973,-17.1216,NA,NA
234,Class,NA,NA,NA,BGS,England,NONE,1,NA,Eskdale,Europe,England,54.396,-3.234,Minutes,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Siliciclastic,Siltstone,-32.0088,-17.7314,NA,Fine Grained
235,Class,NA,NA,NA,BGS,England,NONE,1,NA,"Carlops Quarry, 1""32",Europe,Scotland,55.79,-3.319,Seconds,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,NA,,-32.1883,-17.8341,NA,NA
236,Family,Archaeocidaridae,NA,NA,BGS,England,NONE,1,NA,"Spouthead Burn, (2nd Branch, W to E) near junction with trap 1.25 m N of Milton of Campsie",Europe,Scotland,55.981,-4.16,Seconds,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,NA,,-32.2306,-17.4227,NA,NA
237,Family,Archaeocidaridae,NA,NA,BGS,England,NONE,1,NA,"Carlops Quarry, 1""32",Europe,Scotland,55.79,-3.319,Seconds,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,NA,,-32.1883,-17.8341,NA,NA
238,Family,Archaeocidaridae,NA,NA,BGS,England,NONE,1,NA,"Railway Cutting, Lugton",Europe,Scotland,55.743,-4.528,Seconds,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,NA,,-32.0971,-17.7738,NA,NA
239,Family,Archaeocidaridae,NA,NA,BGS,England,NONE,1,NA,"Charlestown, Fife",Europe,Scotland,56.036,-3.502,Seconds,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,NA,,-34.8321,-14.1289,NA,NA
240,Family,Archaeocidaridae,NA,NA,BGS,England,NONE,1,NA,"Invertiel, Scotland",Europe,Scotland,56.098,-3.181,Seconds,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,NA,,-39.0423,-13.6933,NA,NA
241,Family,Archaeocidaridae,NA,NA,BGS,England,NONE,1,NA,"Sheldon Moor, Derbyshire",Europe,England,53.209,-1.766,Seconds,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,NA,,-39.3003,-13.711,NA,NA
242,Family,Archaeocidaridae,NA,NA,BGS,England,NONE,1,NA,"Benburb, Tyrone",Europe,Northern Ireland,54.41,-6.748,Minutes,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,NA,,-34.9073,-14.1063,NA,NA
243,Class,NA,NA,NA,BGS,England,NONE,1,NA,"Clitheroe, Lancashire",Europe,England,53.889,-2.372,Minutes,Chatburn Limestone Group,Clitheroe Limestone Formation,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,Siliciclastic,Shale,0.2908,-3.8958,NA,Fine Grained
244,Species,Lepidocentridae,Palaeodiscus,ferox,BGS,England,NONE,1,NA,"Leintwardine, Herefordshire",Europe,England,52.36,-2.871,Minutes,NA,Lower Leintwardine Formation,NA,Stage,Silurian,Silurian,Ludfordian,Ludfordian,425.6,423,424.3,1,79,100,Siliciclastic,Siltstone,-31.9558,-15.89,Palaeodiscus ferox,Fine Grained
245,Species,Echinocystitidae,Echinocystites,pomum,BGS,England,NONE,1,NA,"Leintwardine, Herefordshire",Europe,England,52.36,-2.871,Minutes,NA,Lower Leintwardine Formation,NA,Stage,Silurian,Silurian,Ludfordian,Ludfordian,425.6,423,424.3,1,79,100,Siliciclastic,Siltstone,-31.9558,-15.89,Echinocystites pomum,Fine Grained
246,Genus,Echinocystitidae,Echinocystites,sp.,BGS,England,NONE,1,NA,"Scarp, 80 yrds S30 degrees W of Brynsylldy Farm, Llarnwst, Denbighshire (SH 82056182)",Europe,Wales,53.14,-3.765,Seconds,NA,NA,NA,Stage,Silurian,Silurian,Sheinwoodian,Homerian,433.4,427.4,430.4,2,81,51.67,Siliciclastic,Siltstone,-0.2369,-23.7162,Echinocystites,Fine Grained
247,Class,NA,NA,NA,BGS,England,NONE,1,NA,"720 yrds ESE of Aberbaiden Farm, Glamorgan 1""248",Europe,Scotland,51.544,-3.64,Seconds,NA,NA,NA,Stage,Pennsylvanian,Pennsylvanian,Bashkirian,Moscovian,323.2,307,315.1,2,66,50.62,Siliciclastic,Siltstone,-4.0357,-20.7131,NA,Fine Grained
517,Genus,Proterocidaridae,Perischodomus,sp.,BMNH,England,NONE,1,NA,Eskdale,Europe,England,54.396,-3.234,Minutes,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Siliciclastic,Siltstone,-32.0088,-17.7314,Perischodomus,Fine Grained
518,Species,Palaechinidae,Melonechinus,dispar,BMNH,England,NONE,1,NA,"Merehead Quarry near Cranmore East mendips, Somerset",Europe,England,51.196,-2.441,Seconds,NA,Clifton Down Limestone,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Carbonate,,-0.9425,-11.7902,Melonechinus dispar,NA
